"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\menka\BaRepo\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BaRepo\angular.json", "JSON", 110, 0, 0, 0, 0, 0, 0, 20, 0, 130
"c:\Users\menka\BaRepo\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 6, 2, 32
"c:\Users\menka\BaRepo\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\menka\BaRepo\e2e\src\app.po.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\menka\BaRepo\e2e\tsconfig.json", "JSON with Comments", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\menka\BaRepo\karma.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 2, 2, 33
"c:\Users\menka\BaRepo\src\app\app-routing.module.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"c:\Users\menka\BaRepo\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\menka\BaRepo\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BaRepo\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\menka\BaRepo\src\app\app.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\menka\BaRepo\src\app\app.module.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 4, 76
"c:\Users\menka\BaRepo\src\app\layouts\default\default.component.html", "HTML", 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\menka\BaRepo\src\app\layouts\default\default.component.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\menka\BaRepo\src\app\layouts\default\default.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\layouts\default\default.component.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 8, 22
