"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "SCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\details.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\diff-details.md", "Markdown", 0, 0, 119, 0, 0, 0, 0, 0, 6, 125
"c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\diff.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\results.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\menka\BachelorAngular\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BachelorAngular\angular.json", "JSON", 0, 0, 0, 110, 0, 0, 0, 20, 0, 130
"c:\Users\menka\BachelorAngular\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 6, 2, 32
"c:\Users\menka\BachelorAngular\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\menka\BachelorAngular\e2e\src\app.po.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\menka\BachelorAngular\e2e\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\menka\BachelorAngular\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 2, 2, 33
"c:\Users\menka\BachelorAngular\src\app\app-routing.module.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\menka\BachelorAngular\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\menka\BachelorAngular\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BachelorAngular\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\menka\BachelorAngular\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\menka\BachelorAngular\src\app\app.module.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\menka\BachelorAngular\src\app\layouts\default\default.module.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\menka\BachelorAngular\src\app\modules\FTTaskForm.model.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\menka\BachelorAngular\src\app\modules\MCTaskFrom.model.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\menka\BachelorAngular\src\app\modules\MustMatch.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\menka\BachelorAngular\src\app\modules\TaskCollectionForm.model.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.html", "HTML", 0, 0, 0, 0, 0, 78, 0, 2, 6, 86
"c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 0, 10, 11, 179
"c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 6, 68
"c:\Users\menka\BachelorAngular\src\app\modules\dashboard.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\menka\BachelorAngular\src\app\modules\dashboard.service.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 4, 17, 63
"c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\menka\BachelorAngular\src\app\modules\signin.service.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 5, 15, 115
"c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.html", "HTML", 0, 0, 0, 0, 0, 97, 0, 2, 6, 105
"c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 1, 22, 122
"c:\Users\menka\BachelorAngular\src\app\modules\taskSheet.model.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 4, 8, 39
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.scss", "SCSS", 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.ts", "TypeScript", 0, 132, 0, 0, 0, 0, 0, 8, 20, 160
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 4, 8, 46
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 0, 3, 6, 120
"c:\Users\menka\BachelorAngular\src\app\modules\teacher.model.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.html", "HTML", 0, 0, 0, 0, 0, 77, 0, 1, 6, 84
"c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 2, 15, 139
"c:\Users\menka\BachelorAngular\src\app\shared.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\menka\BachelorAngular\src\app\shared.service.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 20, 7, 103
"c:\Users\menka\BachelorAngular\src\app\shared\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
