Date : 2022-06-17 21:13:27
Directory : c:\Users\menka\BachelorAngular
Total : 103 files,  3236 codes, 167 comments, 488 blanks, all 3891 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         52 |      1,864 |        121 |        321 |      2,306 |
| HTML               |         16 |        500 |         17 |         72 |        589 |
| Markdown           |          9 |        381 |          0 |         53 |        434 |
| JSON               |          6 |        236 |         20 |          2 |        258 |
| SCSS               |         16 |        165 |          1 |         34 |        200 |
| JavaScript         |          2 |         53 |          8 |          4 |         65 |
| JSON with Comments |          2 |         37 |          0 |          2 |         39 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        103 |      3,236 |        167 |        488 |      3,891 |
| .VSCodeCounter                                                                                       |         10 |        383 |          0 |         52 |        435 |
| .VSCodeCounter\2022-05-16_02-16-36                                                                   |          5 |        183 |          0 |         26 |        209 |
| .VSCodeCounter\2022-06-17_21-12-52                                                                   |          5 |        200 |          0 |         26 |        226 |
| e2e                                                                                                  |          4 |         64 |          7 |         11 |         82 |
| e2e\src                                                                                              |          2 |         27 |          1 |          8 |         36 |
| src                                                                                                  |         82 |      2,502 |        138 |        419 |      3,059 |
| src\app                                                                                              |         75 |      2,442 |         67 |        394 |      2,903 |
| src\app\layouts                                                                                      |          5 |         88 |          0 |         21 |        109 |
| src\app\layouts\default                                                                              |          5 |         88 |          0 |         21 |        109 |
| src\app\modules                                                                                      |         37 |      1,582 |         46 |        231 |      1,859 |
| src\app\modules\create-question                                                                      |          4 |        265 |         12 |         25 |        302 |
| src\app\modules\create-task-sheet                                                                    |          4 |        120 |          0 |         15 |        135 |
| src\app\modules\dashboard                                                                            |          4 |        121 |          4 |         35 |        160 |
| src\app\modules\signin                                                                               |          4 |        232 |          3 |         37 |        272 |
| src\app\modules\tasksheetoverview                                                                    |          4 |        206 |         12 |         38 |        256 |
| src\app\modules\tasksheetspecific                                                                    |          4 |        200 |          7 |         24 |        231 |
| src\app\modules\update-question                                                                      |          4 |        219 |          3 |         28 |        250 |
| src\app\shared                                                                                       |         25 |        545 |          1 |        111 |        657 |
| src\app\shared\components                                                                            |         12 |        221 |          1 |         53 |        275 |
| src\app\shared\components\footer                                                                     |          4 |         37 |          0 |         13 |         50 |
| src\app\shared\components\header                                                                     |          4 |         95 |          1 |         22 |        118 |
| src\app\shared\components\sidebar                                                                    |          4 |         89 |          0 |         18 |        107 |
| src\app\shared\widgets                                                                               |         12 |        276 |          0 |         56 |        332 |
